,Betweenness Centrality,Closeness Centrality,Degree Centrality,Eigenvector Centrality,Clustering Coefficient,PageRank
building,0.0013859937903074548,0.38445867287543656,0.0640928589452435,0.0021040036745051576,0.0001697678449000103,0.0005149757029838325
salvation,5.531707257367884e-05,0.3422575351930218,0.008074690890739339,0.00016620597605587818,0.0005564122433995072,9.932481174044041e-05
decade,3.069983737888425e-06,0.30191985372543045,0.003785011355034065,0.00018088921772132805,0.0004542896804410245,6.504920318478983e-05
operating,1.0954420071763543e-05,0.3139755981619395,0.005046681806712087,0.00019615469376924096,0.000247433678634301,9.76189593715921e-05
condolence,0.00013999271371012238,0.3520163439332031,0.016654049962149885,0.000818122367611264,0.0005300659576596593,0.00016576735514579853
ever,0.0008340065684820911,0.3769977168949772,0.04920514761544285,0.0007348300734712911,0.00023821537009500898,0.000500899254701565
offer,0.00017338313863531071,0.35396570203644157,0.028261418117587686,0.0005408896174773256,0.00029473211443983773,0.0002840784950468943
floo,2.1683550404257465e-05,0.30806902985074625,0.004289679535705274,1.2465993096253083e-05,0.0005114260520886204,0.00019655331519896247
blog,0.0007909342561180371,0.3898671913428431,0.031037093111279335,0.00039000914837405526,0.00018697007634207652,0.00021116950221676276
seat,7.761167835568476e-06,0.3300024981264052,0.006813020439061317,0.0002484471983668441,0.00030436501993902365,7.407614755784242e-05
deported,2.9257769870889034e-06,0.30447141979102643,0.0040373454453696694,0.00036729505274152237,0.0008221401980734272,7.731838640076237e-05
malware,1.6637102878925167e-05,0.3321042487220313,0.004542013626040878,0.0008188269666829298,0.000772615578412064,6.010267276634468e-05
de,0.00012152667606212967,0.34854881266490767,0.009588695432752965,0.00018076158566755627,0.00020986888175682957,8.64265897996797e-05
politician,9.04074920285981e-05,0.3460530911631156,0.0116073681554378,0.00027324051827386014,0.00021857352911220965,0.00013972421770235338
capture,5.3475197358891916e-05,0.3518288352272727,0.01640171587181428,0.002786509184375884,0.000503264471879341,0.00018599029046298553
increase,4.0218414928688996e-05,0.3246231979030144,0.0058036840777189,1.9485406473068058e-05,0.00016349263470816875,6.695081979981496e-05
happen,0.0007281033945425992,0.37996164908916585,0.04188745899571032,0.0010896687256033927,0.0003135009829652477,0.0003297543942044081
cbcca,8.145673837234189e-06,0.3324943367732192,0.0047943477163764825,5.9390214478901774e-05,0.0003046509044178722,5.742641337378013e-05
store,0.0008094642894912091,0.3816815949147645,0.041635124905374715,0.00039473527329955297,0.00017144442838095076,0.00037996258281925707
colorado,2.0539961896224694e-05,0.33308119011598586,0.006560686348725713,3.468391147219249e-05,0.00023466727069979188,7.122867680391774e-05
whose,7.753757406072493e-05,0.33471283783783784,0.01337370678778703,0.00011427591374026614,0.0002817130175710671,0.00012926074421887928
linked,1.6812596258862312e-06,0.28977771278151504,0.004542013626040878,0.0003398493049927167,0.0006863963953345367,6.859696393701009e-05
obamas,7.723889078718762e-05,0.34149073675140024,0.013121372697451426,0.00024096048968517202,0.0002286315320690513,0.00014943312209692334
immigration,1.0258021450910629e-05,0.31673593350383633,0.0063083522583901085,8.126821891425967e-05,0.0002190615218137664,8.760525936297402e-05
personnel,0.0005657682483834782,0.34714435879467415,0.012112036336109008,0.0003472337563198308,0.00031605284013451045,0.00019886882415095424
speaking,4.114814627475965e-05,0.3331932066588196,0.0058036840777189,0.000382760138463228,0.0003407930992791919,8.150748909639314e-05
maintains,0.0,0.0876556590210347,0.000757002271006813,0.00012439698210048552,0.01102009855207145,5.8300387727431474e-05
flouro,0.0,0.09468855279191456,0.000757002271006813,1.6150094423558466e-05,0.0022980807924641426,7.388070489384069e-05
patient,0.00021010871390859836,0.3611592089674656,0.01917739086550593,0.0005178119307752638,0.00023869205677652859,0.000177401710063017
panic,4.523157669311278e-05,0.3394141829393628,0.007317688619732526,7.580751915038943e-05,0.0004405510285747446,8.083788252755201e-05
called,0.0006411854049149122,0.38025331030512377,0.03557910673732021,0.000504758901957712,0.00021274935641996763,0.0003109088226101658
arrested,0.0001613364996134335,0.34005491676677535,0.013121372697451426,0.0013762255172885915,0.0004797845570191739,0.00016259099828660548
rage,0.0,0.2861991767169784,0.003785011355034065,0.0010415681555350335,0.002034736415704435,0.00013603138934356474
daughter,0.00026401831454360127,0.36786410470620995,0.018420388594499116,0.00048799258816938096,0.0002836252659975019,0.00017603430185871843
evil,5.345879434266183e-05,0.3484568715378528,0.009588695432752965,5.417563534166726e-05,0.0002783050903674516,8.453140288009817e-05
involved,0.00018339678162455518,0.37033922063358565,0.029775422659601314,0.007784748020231505,0.000597854887405482,0.00037616151774982735
com,2.4157582932787167e-05,0.3173192409320202,0.003028009084027252,3.831962735914577e-05,0.0004806681281801158,5.147271472947661e-05
precious,8.624672759533209e-05,0.33341746592629984,0.007822356800403735,0.0002095588630210878,0.0004842388157265783,9.349510304555147e-05
old,0.0013032728709264137,0.3790168324407039,0.05425182942215493,0.002261916178711726,0.00022839687906079894,0.0008596046847692529
australiagt,7.11569687364927e-05,0.3080450835600466,0.003785011355034065,1.482554114264038e-05,0.00023211783363965077,7.243121710826396e-05
oklahomatheyre,0.0,0.07481734599482716,0.0005046681806712087,2.871361859272247e-05,0.005440458442539758,5.168672271799647e-05
seem,0.0001825558416397535,0.3761032551959761,0.018420388594499116,0.00021245125454476702,0.0003061873773027758,0.0001511788292504791
aw,1.4890529392776669e-06,0.32630712227254016,0.0032803431743628564,4.5461833105954114e-05,0.0006083591928035091,5.211757349092814e-05
suspend,5.180161128383336e-05,0.3295908183632735,0.007317688619732526,3.424186465250563e-05,0.00010821538936926583,8.822454322169766e-05
